M1: 1,M2: 2
M1: 3,M2: 6
M1: 7,M2: 9
M1: 12,M2: 13
M1: 16,M2: 18
M1: 20,M2: 22
M1: 23,M2: 24
M1: 26,M2: 27
M1: 28,M2: 29
M1: 32,M2: 32
M1: 35,M2: 35
M1: 39,M2: 38
M1: 43,M2: 42
M1: 46,M2: 45
M1: 50,M2: 48
M1: 54,M2: 52
M1: 58,M2: 56
M1: 62,M2: 59
M1: 66,M2: 64
M1: 71,M2: 68
M1: 75,M2: 73
M1: 80,M2: 77
M1: 84,M2: 82
M1: 89,M2: 86
M1: 93,M2: 90
M1: 98,M2: 95
M1: 102,M2: 100
M1: 108,M2: 104
M1: 112,M2: 110
M1: 117,M2: 114
M1: 122,M2: 119
M1: 127,M2: 124
M1: 132,M2: 129
M1: 137,M2: 134
M1: 142,M2: 139
M1: 147,M2: 144
M1: 152,M2: 149
M1: 157,M2: 153
M1: 162,M2: 158
M1: 166,M2: 163
M1: 172,M2: 168
M1: 176,M2: 173
M1: 182,M2: 178
M1: 187,M2: 183
M1: 192,M2: 188
M1: 197,M2: 193
M1: 202,M2: 199
M1: 207,M2: 204
M1: 212,M2: 209
M1: 217,M2: 214
M1: 222,M2: 219
M1: 228,M2: 224
M1: 233,M2: 229
M1: 238,M2: 234
M1: 243,M2: 239
M1: 248,M2: 244
M1: 253,M2: 249
M1: 258,M2: 254
M1: 264,M2: 259
M1: 268,M2: 264
M1: 274,M2: 269
M1: 279,M2: 274
M1: 284,M2: 280
M1: 289,M2: 285
M1: 294,M2: 290
M1: 300,M2: 295
M1: 304,M2: 300
M1: 310,M2: 305
M1: 315,M2: 310
M1: 320,M2: 316
M1: 326,M2: 321
M1: 330,M2: 326
M1: 336,M2: 331
M1: 341,M2: 336
M1: 346,M2: 342
M1: 351,M2: 347
M1: 356,M2: 352
M1: 361,M2: 358
M1: 366,M2: 363
M1: 372,M2: 368
M1: 377,M2: 373
M1: 382,M2: 378
M1: 387,M2: 383
M1: 392,M2: 389
M1: 397,M2: 394
M1: 402,M2: 399
M1: 407,M2: 404
M1: 412,M2: 409
M1: 417,M2: 415
M1: 422,M2: 420
M1: 427,M2: 425
M1: 432,M2: 430
M1: 438,M2: 435
M1: 443,M2: 441
M1: 448,M2: 446
M1: 453,M2: 451
M1: 458,M2: 456
M1: 463,M2: 461
M1: 468,M2: 466
M1: 473,M2: 471
M1: 478,M2: 476
M1: 483,M2: 481
M1: 488,M2: 486
M1: 493,M2: 492
M1: 498,M2: 496
M1: 504,M2: 502
M1: 509,M2: 507
M1: 514,M2: 512
M1: 519,M2: 517
M1: 524,M2: 522
M1: 530,M2: 527
M1: 535,M2: 532
M1: 540,M2: 538
M1: 545,M2: 543
M1: 550,M2: 548
M1: 556,M2: 553
M1: 561,M2: 559
M1: 566,M2: 564
M1: 571,M2: 569
M1: 576,M2: 574
M1: 581,M2: 579
M1: 586,M2: 584
M1: 592,M2: 590
M1: 597,M2: 595
M1: 602,M2: 600
M1: 607,M2: 605
M1: 612,M2: 610
M1: 617,M2: 615
M1: 622,M2: 620
M1: 627,M2: 626
M1: 632,M2: 631
M1: 638,M2: 636
M1: 642,M2: 641
M1: 648,M2: 646
M1: 652,M2: 651
M1: 658,M2: 656
M1: 662,M2: 661
M1: 668,M2: 666
M1: 672,M2: 671
M1: 678,M2: 676
M1: 683,M2: 682
M1: 688,M2: 687
M1: 693,M2: 691
M1: 698,M2: 697
M1: 704,M2: 702
M1: 709,M2: 707
M1: 714,M2: 712
M1: 720,M2: 718
M1: 724,M2: 723
M1: 730,M2: 728
M1: 735,M2: 733
M1: 741,M2: 738
M1: 746,M2: 744
M1: 752,M2: 749
M1: 756,M2: 754
M1: 762,M2: 759
M1: 767,M2: 764
M1: 772,M2: 770
M1: 778,M2: 775
M1: 782,M2: 780
M1: 788,M2: 785
M1: 792,M2: 790
M1: 797,M2: 795
M1: 802,M2: 800
M1: 807,M2: 805
M1: 812,M2: 810
M1: 817,M2: 815
M1: 822,M2: 820
M1: 827,M2: 825
M1: 832,M2: 830
M1: 838,M2: 835
M1: 843,M2: 841
M1: 848,M2: 846
M1: 853,M2: 851
M1: 858,M2: 856
M1: 864,M2: 862
M1: 868,M2: 867
M1: 874,M2: 872
M1: 879,M2: 877
M1: 884,M2: 882
M1: 889,M2: 887
M1: 894,M2: 892
M1: 899,M2: 898
M1: 905,M2: 903
M1: 910,M2: 908
M1: 915,M2: 913
M1: 920,M2: 918
M1: 925,M2: 924
M1: 930,M2: 929
M1: 935,M2: 934
M1: 940,M2: 939
M1: 946,M2: 944
M1: 951,M2: 949
M1: 956,M2: 955
M1: 961,M2: 960
M1: 966,M2: 965
M1: 972,M2: 970
M1: 977,M2: 976
M1: 982,M2: 980
M1: 988,M2: 986
M1: 993,M2: 991
M1: 998,M2: 996
M1: 1002,M2: 1001
M1: 1008,M2: 1006
M1: 1012,M2: 1011
M1: 1018,M2: 1016
M1: 1023,M2: 1021
M1: 1028,M2: 1027
M1: 1033,M2: 1032
M1: 1038,M2: 1037
M1: 1044,M2: 1042
M1: 1049,M2: 1048
M1: 1054,M2: 1053
M1: 1059,M2: 1058
M1: 1064,M2: 1063
M1: 1070,M2: 1068
M1: 1075,M2: 1074
M1: 1080,M2: 1079
M1: 1085,M2: 1084
M1: 1090,M2: 1089
M1: 1095,M2: 1094
M1: 1100,M2: 1099
M1: 1105,M2: 1104
M1: 1110,M2: 1109
M1: 1115,M2: 1114
M1: 1120,M2: 1119
M1: 1125,M2: 1124
M1: 1130,M2: 1130
M1: 1135,M2: 1135
M1: 1140,M2: 1140
M1: 1146,M2: 1146
M1: 1151,M2: 1151
M1: 1156,M2: 1156
M1: 1161,M2: 1161
M1: 1166,M2: 1166
M1: 1171,M2: 1171
M1: 1176,M2: 1176
M1: 1181,M2: 1181
M1: 1186,M2: 1186
M1: 1192,M2: 1190
M1: 1197,M2: 1196
M1: 1202,M2: 1200
M1: 1207,M2: 1206
M1: 1212,M2: 1211
M1: 1217,M2: 1216
M1: 1222,M2: 1221
M1: 1227,M2: 1226
M1: 1232,M2: 1231
M1: 1237,M2: 1236
M1: 1242,M2: 1241
M1: 1248,M2: 1246
M1: 1253,M2: 1252
M1: 1258,M2: 1257
M1: 1263,M2: 1262
M1: 1268,M2: 1267
M1: 1273,M2: 1272
M1: 1278,M2: 1278
M1: 1284,M2: 1283
M1: 1288,M2: 1288
M1: 1294,M2: 1293
M1: 1298,M2: 1298
M1: 1303,M2: 1303
M1: 1308,M2: 1308
M1: 1313,M2: 1314
M1: 1318,M2: 1318
M1: 1323,M2: 1324
M1: 1328,M2: 1329
M1: 1334,M2: 1334
M1: 1338,M2: 1339
M1: 1344,M2: 1344
M1: 1348,M2: 1349
M1: 1354,M2: 1354
M1: 1358,M2: 1359
M1: 1363,M2: 1364
M1: 1368,M2: 1369
M1: 1373,M2: 1374
M1: 1378,M2: 1379
M1: 1383,M2: 1384
M1: 1388,M2: 1389
M1: 1393,M2: 1394
M1: 1398,M2: 1399
M1: 1404,M2: 1404
M1: 1408,M2: 1410
M1: 1414,M2: 1415
M1: 1419,M2: 1420
M1: 1424,M2: 1425
M1: 1429,M2: 1430
M1: 1434,M2: 1435
M1: 1440,M2: 1440
M1: 1444,M2: 1446
M1: 1450,M2: 1451
M1: 1454,M2: 1456
M1: 1460,M2: 1461
M1: 1464,M2: 1466
M1: 1469,M2: 1471
M1: 1474,M2: 1476
M1: 1479,M2: 1481
M1: 1484,M2: 1486
M1: 1489,M2: 1491
M1: 1495,M2: 1496
M1: 1500,M2: 1502
M1: 1505,M2: 1507
M1: 1510,M2: 1512
M1: 1515,M2: 1517
M1: 1520,M2: 1522
M1: 1525,M2: 1527
M1: 1530,M2: 1532
M1: 1534,M2: 1537
M1: 1539,M2: 1542
M1: 1544,M2: 1548
M1: 1550,M2: 1553
M1: 1555,M2: 1558
M1: 1560,M2: 1563
M1: 1565,M2: 1568
M1: 1570,M2: 1574
M1: 1575,M2: 1578
M1: 1580,M2: 1584
M1: 1584,M2: 1588
M1: 1590,M2: 1593
M1: 1594,M2: 1599
M1: 1599,M2: 1604
M1: 1604,M2: 1609
M1: 1610,M2: 1614
M1: 1614,M2: 1619
M1: 1620,M2: 1624
M1: 1625,M2: 1629
M1: 1630,M2: 1635
M1: 1635,M2: 1639
M1: 1640,M2: 1644
M1: 1645,M2: 1650
M1: 1650,M2: 1654
M1: 1656,M2: 1659
M1: 1660,M2: 1664
M1: 1664,M2: 1668
M1: 1668,M2: 1671
M1: 1671,M2: 1674
M1: 1675,M2: 1675
M1: 1678,M2: 1676
M1: 1681,M2: 1677
M1: 1684,M2: 1677
M1: 1687,M2: 1677
M1: 1689,M2: 1677
M1: 1692,M2: 1677
M1: 1693,M2: 1677
M1: 1695,M2: 1677
M1: 1696,M2: 1677
M1: 1697,M2: 1677
M1: 1698,M2: 1677
