M1: -1,M2: 2
M1: 1,M2: 7
M1: 4,M2: 12
M1: 7,M2: 16
M1: 10,M2: 20
M1: 14,M2: 24
M1: 19,M2: 28
M1: 24,M2: 33
M1: 27,M2: 36
M1: 29,M2: 39
M1: 32,M2: 41
M1: 35,M2: 44
M1: 38,M2: 47
M1: 42,M2: 50
M1: 46,M2: 54
M1: 50,M2: 57
M1: 54,M2: 60
M1: 58,M2: 64
M1: 62,M2: 68
M1: 66,M2: 72
M1: 70,M2: 75
M1: 74,M2: 79
M1: 78,M2: 83
M1: 82,M2: 87
M1: 87,M2: 92
M1: 91,M2: 97
M1: 96,M2: 101
M1: 101,M2: 106
M1: 106,M2: 111
M1: 111,M2: 116
M1: 116,M2: 121
M1: 121,M2: 126
M1: 126,M2: 130
M1: 130,M2: 135
M1: 134,M2: 139
M1: 139,M2: 144
M1: 144,M2: 149
M1: 148,M2: 154
M1: 153,M2: 158
M1: 158,M2: 163
M1: 163,M2: 168
M1: 168,M2: 173
M1: 173,M2: 178
M1: 178,M2: 183
M1: 183,M2: 189
M1: 188,M2: 194
M1: 193,M2: 199
M1: 199,M2: 204
M1: 204,M2: 209
M1: 209,M2: 214
M1: 214,M2: 219
M1: 219,M2: 224
M1: 224,M2: 229
M1: 229,M2: 234
M1: 234,M2: 239
M1: 238,M2: 244
M1: 243,M2: 249
M1: 248,M2: 254
M1: 253,M2: 259
M1: 258,M2: 264
M1: 263,M2: 269
M1: 268,M2: 275
M1: 274,M2: 280
M1: 278,M2: 285
M1: 284,M2: 290
M1: 289,M2: 295
M1: 294,M2: 301
M1: 299,M2: 306
M1: 304,M2: 311
M1: 310,M2: 316
M1: 315,M2: 322
M1: 320,M2: 327
M1: 325,M2: 331
M1: 330,M2: 336
M1: 335,M2: 341
M1: 340,M2: 346
M1: 345,M2: 351
M1: 350,M2: 356
M1: 355,M2: 361
M1: 360,M2: 366
M1: 365,M2: 371
M1: 370,M2: 377
M1: 375,M2: 382
M1: 380,M2: 387
M1: 385,M2: 392
M1: 390,M2: 397
M1: 395,M2: 402
M1: 400,M2: 407
M1: 405,M2: 412
M1: 410,M2: 417
M1: 415,M2: 422
M1: 420,M2: 427
M1: 425,M2: 432
M1: 430,M2: 437
M1: 435,M2: 442
M1: 440,M2: 447
M1: 445,M2: 452
M1: 450,M2: 457
M1: 455,M2: 462
M1: 460,M2: 467
M1: 465,M2: 472
M1: 470,M2: 477
M1: 475,M2: 483
M1: 480,M2: 488
M1: 486,M2: 493
M1: 491,M2: 498
M1: 496,M2: 503
M1: 501,M2: 508
M1: 506,M2: 513
M1: 511,M2: 519
M1: 516,M2: 523
M1: 520,M2: 529
M1: 526,M2: 533
M1: 531,M2: 539
M1: 536,M2: 544
M1: 541,M2: 549
M1: 546,M2: 554
M1: 551,M2: 559
M1: 556,M2: 564
M1: 561,M2: 569
M1: 566,M2: 574
M1: 572,M2: 579
M1: 576,M2: 584
M1: 581,M2: 589
M1: 586,M2: 594
M1: 591,M2: 599
M1: 596,M2: 604
M1: 601,M2: 609
M1: 606,M2: 614
M1: 611,M2: 619
M1: 616,M2: 624
M1: 621,M2: 629
M1: 626,M2: 634
M1: 631,M2: 639
M1: 636,M2: 644
M1: 642,M2: 649
M1: 647,M2: 655
M1: 652,M2: 660
M1: 657,M2: 665
M1: 662,M2: 670
M1: 668,M2: 675
M1: 673,M2: 681
M1: 678,M2: 686
M1: 683,M2: 691
M1: 688,M2: 697
M1: 693,M2: 702
M1: 698,M2: 707
M1: 704,M2: 712
M1: 709,M2: 717
M1: 714,M2: 723
M1: 719,M2: 728
M1: 724,M2: 733
M1: 729,M2: 738
M1: 734,M2: 743
M1: 740,M2: 749
M1: 745,M2: 754
M1: 750,M2: 759
M1: 755,M2: 764
M1: 760,M2: 769
M1: 765,M2: 774
M1: 770,M2: 779
M1: 775,M2: 784
M1: 780,M2: 789
M1: 786,M2: 794
M1: 790,M2: 799
M1: 796,M2: 804
M1: 801,M2: 809
M1: 806,M2: 815
M1: 811,M2: 819
M1: 816,M2: 825
M1: 821,M2: 830
M1: 826,M2: 835
M1: 831,M2: 840
M1: 836,M2: 845
M1: 841,M2: 850
M1: 846,M2: 855
M1: 851,M2: 860
M1: 856,M2: 865
M1: 861,M2: 870
M1: 866,M2: 875
M1: 871,M2: 881
M1: 876,M2: 886
M1: 881,M2: 891
M1: 887,M2: 897
M1: 892,M2: 902
M1: 897,M2: 907
M1: 902,M2: 912
M1: 907,M2: 917
M1: 912,M2: 923
M1: 918,M2: 928
M1: 922,M2: 933
M1: 928,M2: 938
M1: 932,M2: 943
M1: 937,M2: 948
M1: 942,M2: 953
M1: 947,M2: 958
M1: 952,M2: 963
M1: 958,M2: 969
M1: 963,M2: 974
M1: 968,M2: 979
M1: 974,M2: 985
M1: 978,M2: 990
M1: 984,M2: 995
M1: 989,M2: 1000
M1: 994,M2: 1005
M1: 999,M2: 1010
M1: 1004,M2: 1015
M1: 1009,M2: 1020
M1: 1014,M2: 1025
M1: 1019,M2: 1030
M1: 1024,M2: 1035
M1: 1029,M2: 1040
M1: 1034,M2: 1045
M1: 1039,M2: 1050
M1: 1044,M2: 1055
M1: 1049,M2: 1060
M1: 1054,M2: 1066
M1: 1059,M2: 1071
M1: 1064,M2: 1076
M1: 1070,M2: 1081
M1: 1075,M2: 1087
M1: 1080,M2: 1092
M1: 1085,M2: 1097
M1: 1090,M2: 1102
M1: 1095,M2: 1107
