M1: 0,M2: -7
M1: 2,M2: -4
M1: 4,M2: 1
M1: 6,M2: 6
M1: 9,M2: 12
M1: 12,M2: 16
M1: 16,M2: 19
M1: 19,M2: 24
M1: 24,M2: 29
M1: 29,M2: 34
M1: 32,M2: 37
M1: 35,M2: 39
M1: 38,M2: 41
M1: 41,M2: 44
M1: 44,M2: 47
M1: 48,M2: 50
M1: 52,M2: 54
M1: 55,M2: 57
M1: 59,M2: 61
M1: 63,M2: 65
M1: 66,M2: 68
M1: 70,M2: 72
M1: 75,M2: 77
M1: 79,M2: 81
M1: 83,M2: 85
M1: 88,M2: 90
M1: 92,M2: 95
M1: 97,M2: 99
M1: 102,M2: 104
M1: 107,M2: 109
M1: 112,M2: 114
M1: 117,M2: 119
M1: 122,M2: 123
M1: 126,M2: 128
M1: 131,M2: 133
M1: 136,M2: 138
M1: 140,M2: 142
M1: 146,M2: 147
M1: 150,M2: 152
M1: 155,M2: 157
M1: 160,M2: 161
M1: 165,M2: 166
M1: 170,M2: 171
M1: 175,M2: 176
M1: 180,M2: 181
M1: 186,M2: 186
M1: 190,M2: 191
M1: 196,M2: 196
M1: 201,M2: 201
M1: 206,M2: 206
M1: 211,M2: 211
M1: 215,M2: 216
M1: 220,M2: 221
M1: 226,M2: 226
M1: 230,M2: 231
M1: 236,M2: 236
M1: 240,M2: 241
M1: 246,M2: 246
M1: 251,M2: 251
M1: 256,M2: 257
M1: 261,M2: 262
M1: 266,M2: 267
M1: 271,M2: 272
M1: 276,M2: 277
M1: 281,M2: 282
M1: 286,M2: 287
M1: 291,M2: 293
M1: 296,M2: 298
M1: 302,M2: 303
M1: 306,M2: 308
M1: 312,M2: 313
M1: 317,M2: 319
M1: 322,M2: 324
M1: 328,M2: 329
M1: 332,M2: 335
M1: 338,M2: 340
M1: 343,M2: 345
M1: 348,M2: 350
M1: 353,M2: 355
M1: 358,M2: 361
M1: 363,M2: 366
M1: 368,M2: 371
M1: 374,M2: 376
M1: 378,M2: 381
M1: 383,M2: 386
M1: 389,M2: 391
M1: 394,M2: 397
M1: 399,M2: 401
M1: 404,M2: 406
M1: 409,M2: 411
M1: 414,M2: 416
M1: 419,M2: 421
M1: 424,M2: 426
M1: 430,M2: 431
M1: 435,M2: 437
M1: 440,M2: 441
M1: 445,M2: 447
M1: 450,M2: 452
M1: 455,M2: 457
M1: 460,M2: 462
M1: 465,M2: 467
M1: 470,M2: 473
M1: 476,M2: 478
M1: 481,M2: 483
M1: 486,M2: 488
M1: 491,M2: 493
M1: 496,M2: 498
M1: 501,M2: 503
M1: 506,M2: 509
M1: 512,M2: 514
M1: 516,M2: 519
M1: 522,M2: 524
M1: 527,M2: 529
M1: 532,M2: 535
M1: 537,M2: 540
M1: 542,M2: 545
M1: 548,M2: 551
M1: 553,M2: 556
M1: 558,M2: 561
M1: 563,M2: 566
M1: 568,M2: 571
M1: 573,M2: 576
M1: 578,M2: 581
M1: 583,M2: 586
M1: 588,M2: 591
M1: 593,M2: 597
M1: 598,M2: 602
M1: 604,M2: 607
M1: 608,M2: 612
M1: 614,M2: 617
M1: 619,M2: 622
M1: 624,M2: 627
M1: 629,M2: 632
M1: 634,M2: 637
M1: 640,M2: 641
M1: 644,M2: 647
M1: 650,M2: 651
M1: 655,M2: 657
M1: 660,M2: 662
M1: 666,M2: 667
M1: 670,M2: 673
M1: 676,M2: 678
M1: 681,M2: 683
M1: 686,M2: 688
M1: 691,M2: 693
M1: 696,M2: 698
M1: 702,M2: 704
M1: 707,M2: 709
M1: 712,M2: 714
M1: 717,M2: 719
M1: 722,M2: 724
M1: 727,M2: 730
M1: 732,M2: 735
M1: 737,M2: 740
M1: 742,M2: 745
M1: 747,M2: 750
M1: 752,M2: 755
M1: 758,M2: 760
M1: 763,M2: 766
M1: 768,M2: 771
M1: 774,M2: 776
M1: 779,M2: 781
M1: 784,M2: 787
M1: 789,M2: 792
M1: 794,M2: 797
M1: 800,M2: 802
M1: 804,M2: 807
M1: 810,M2: 812
M1: 815,M2: 818
M1: 820,M2: 823
M1: 825,M2: 828
M1: 830,M2: 833
M1: 835,M2: 837
M1: 840,M2: 842
M1: 845,M2: 847
M1: 850,M2: 852
M1: 855,M2: 857
M1: 860,M2: 862
M1: 865,M2: 867
M1: 870,M2: 872
M1: 875,M2: 877
M1: 880,M2: 882
M1: 886,M2: 888
M1: 890,M2: 893
M1: 896,M2: 898
M1: 901,M2: 904
M1: 906,M2: 909
M1: 911,M2: 914
M1: 916,M2: 919
M1: 921,M2: 924
M1: 926,M2: 929
M1: 931,M2: 934
M1: 936,M2: 939
M1: 941,M2: 944
M1: 946,M2: 949
M1: 951,M2: 954
M1: 956,M2: 959
M1: 962,M2: 964
M1: 967,M2: 970
M1: 972,M2: 975
M1: 977,M2: 980
M1: 982,M2: 985
M1: 988,M2: 991
M1: 993,M2: 996
M1: 998,M2: 1001
M1: 1004,M2: 1006
M1: 1009,M2: 1012
M1: 1014,M2: 1017
M1: 1019,M2: 1022
M1: 1024,M2: 1027
M1: 1029,M2: 1032
M1: 1034,M2: 1038
M1: 1039,M2: 1043
M1: 1044,M2: 1048
M1: 1049,M2: 1053
M1: 1054,M2: 1058
M1: 1060,M2: 1063
M1: 1065,M2: 1069
M1: 1070,M2: 1073
M1: 1075,M2: 1078
M1: 1080,M2: 1084
M1: 1086,M2: 1089
M1: 1091,M2: 1094
M1: 1096,M2: 1099
M1: 1101,M2: 1104
M1: 1106,M2: 1109
M1: 1111,M2: 1115
M1: 1116,M2: 1120
M1: 1122,M2: 1125
M1: 1127,M2: 1130
M1: 1132,M2: 1135
M1: 1137,M2: 1140
M1: 1142,M2: 1145
M1: 1147,M2: 1150
M1: 1152,M2: 1155
M1: 1157,M2: 1160
M1: 1162,M2: 1165
M1: 1168,M2: 1171
M1: 1172,M2: 1176
M1: 1178,M2: 1181
M1: 1183,M2: 1186
M1: 1188,M2: 1191
M1: 1193,M2: 1196
M1: 1198,M2: 1201
M1: 1203,M2: 1207
M1: 1208,M2: 1212
M1: 1214,M2: 1217
M1: 1219,M2: 1223
M1: 1224,M2: 1228
M1: 1230,M2: 1233
M1: 1235,M2: 1239
M1: 1240,M2: 1244
M1: 1246,M2: 1249
M1: 1251,M2: 1255
M1: 1256,M2: 1260
M1: 1261,M2: 1265
M1: 1266,M2: 1271
M1: 1272,M2: 1275
M1: 1277,M2: 1281
M1: 1282,M2: 1286
M1: 1287,M2: 1291
M1: 1292,M2: 1296
M1: 1297,M2: 1301
M1: 1302,M2: 1305
M1: 1307,M2: 1310
M1: 1312,M2: 1315
M1: 1316,M2: 1320
M1: 1322,M2: 1325
M1: 1327,M2: 1330
M1: 1332,M2: 1336
M1: 1338,M2: 1341
M1: 1342,M2: 1346
M1: 1348,M2: 1351
M1: 1353,M2: 1357
M1: 1358,M2: 1362
M1: 1363,M2: 1367
M1: 1368,M2: 1372
M1: 1372,M2: 1376
M1: 1377,M2: 1381
M1: 1382,M2: 1386
M1: 1387,M2: 1391
M1: 1392,M2: 1396
M1: 1397,M2: 1401
M1: 1402,M2: 1407
M1: 1408,M2: 1412
M1: 1412,M2: 1417
M1: 1418,M2: 1422
M1: 1423,M2: 1427
M1: 1428,M2: 1433
M1: 1434,M2: 1438
M1: 1439,M2: 1443
M1: 1444,M2: 1449
M1: 1449,M2: 1454
M1: 1454,M2: 1459
M1: 1460,M2: 1464
M1: 1464,M2: 1469
M1: 1470,M2: 1474
M1: 1474,M2: 1479
M1: 1480,M2: 1484
M1: 1484,M2: 1489
M1: 1490,M2: 1494
M1: 1495,M2: 1500
M1: 1500,M2: 1505
M1: 1505,M2: 1510
M1: 1510,M2: 1515
M1: 1516,M2: 1521
M1: 1521,M2: 1526
M1: 1526,M2: 1531
M1: 1532,M2: 1536
M1: 1537,M2: 1541
M1: 1542,M2: 1546
M1: 1547,M2: 1551
M1: 1552,M2: 1556
M1: 1557,M2: 1561
M1: 1562,M2: 1566
M1: 1567,M2: 1571
M1: 1572,M2: 1577
M1: 1577,M2: 1582
M1: 1582,M2: 1587
M1: 1588,M2: 1592
M1: 1593,M2: 1597
M1: 1598,M2: 1603
M1: 1603,M2: 1608
M1: 1608,M2: 1613
M1: 1614,M2: 1618
M1: 1618,M2: 1623
M1: 1624,M2: 1628
M1: 1628,M2: 1633
M1: 1633,M2: 1639
M1: 1639,M2: 1643
M1: 1643,M2: 1649
