M1: -2,M2: -2
M1: 3,M2: 4
M1: 8,M2: 8
M1: 14,M2: 14
M1: 21,M2: 21
M1: 26,M2: 26
M1: 32,M2: 32
M1: 37,M2: 37
M1: 43,M2: 43
M1: 48,M2: 48
M1: 53,M2: 54
M1: 59,M2: 59
M1: 65,M2: 65
M1: 70,M2: 71
M1: 75,M2: 76
M1: 81,M2: 82
M1: 87,M2: 88
M1: 93,M2: 94
M1: 98,M2: 99
M1: 104,M2: 105
M1: 109,M2: 111
M1: 115,M2: 116
M1: 121,M2: 122
M1: 126,M2: 128
M1: 132,M2: 133
M1: 137,M2: 139
M1: 143,M2: 145
M1: 148,M2: 150
M1: 154,M2: 156
M1: 160,M2: 162
M1: 165,M2: 167
M1: 171,M2: 173
M1: 176,M2: 179
M1: 182,M2: 184
M1: 188,M2: 190
M1: 193,M2: 196
M1: 199,M2: 201
M1: 204,M2: 206
M1: 210,M2: 212
M1: 215,M2: 217
M1: 221,M2: 223
M1: 226,M2: 228
M1: 232,M2: 234
M1: 237,M2: 239
M1: 243,M2: 244
M1: 249,M2: 250
M1: 254,M2: 256
M1: 260,M2: 261
M1: 265,M2: 266
M1: 271,M2: 272
M1: 277,M2: 278
M1: 282,M2: 284
M1: 287,M2: 289
M1: 293,M2: 295
M1: 299,M2: 300
M1: 304,M2: 306
M1: 310,M2: 312
M1: 315,M2: 318
M1: 321,M2: 323
M1: 327,M2: 329
M1: 332,M2: 335
M1: 338,M2: 340
M1: 344,M2: 346
M1: 349,M2: 352
M1: 355,M2: 357
M1: 360,M2: 363
M1: 366,M2: 369
M1: 371,M2: 374
M1: 377,M2: 380
M1: 383,M2: 386
M1: 388,M2: 391
M1: 394,M2: 397
M1: 399,M2: 403
M1: 405,M2: 408
M1: 411,M2: 414
M1: 416,M2: 420
M1: 421,M2: 425
M1: 427,M2: 430
M1: 433,M2: 436
M1: 438,M2: 442
M1: 444,M2: 447
M1: 449,M2: 452
M1: 455,M2: 458
M1: 461,M2: 463
M1: 466,M2: 469
M1: 471,M2: 474
M1: 477,M2: 479
M1: 483,M2: 485
M1: 488,M2: 491
M1: 494,M2: 496
M1: 500,M2: 502
M1: 505,M2: 508
M1: 511,M2: 513
M1: 516,M2: 519
M1: 522,M2: 524
M1: 527,M2: 530
M1: 533,M2: 536
M1: 539,M2: 541
M1: 544,M2: 547
M1: 550,M2: 553
M1: 555,M2: 558
M1: 561,M2: 564
M1: 567,M2: 570
M1: 572,M2: 576
M1: 578,M2: 581
M1: 584,M2: 587
M1: 589,M2: 593
M1: 595,M2: 598
M1: 600,M2: 604
M1: 606,M2: 610
M1: 611,M2: 615
M1: 617,M2: 621
M1: 623,M2: 627
M1: 628,M2: 632
M1: 634,M2: 638
M1: 639,M2: 644
M1: 645,M2: 649
M1: 651,M2: 655
M1: 656,M2: 661
M1: 661,M2: 666
M1: 667,M2: 671
M1: 673,M2: 677
M1: 678,M2: 682
M1: 684,M2: 687
M1: 689,M2: 693
M1: 695,M2: 698
M1: 700,M2: 703
M1: 706,M2: 709
M1: 712,M2: 714
M1: 717,M2: 720
M1: 723,M2: 726
M1: 729,M2: 731
M1: 734,M2: 737
M1: 740,M2: 742
M1: 745,M2: 748
M1: 751,M2: 754
M1: 757,M2: 759
M1: 762,M2: 765
M1: 768,M2: 771
M1: 773,M2: 777
M1: 779,M2: 782
M1: 785,M2: 788
M1: 790,M2: 794
M1: 796,M2: 799
M1: 801,M2: 805
M1: 807,M2: 811
M1: 813,M2: 816
M1: 818,M2: 822
M1: 824,M2: 828
M1: 829,M2: 833
M1: 835,M2: 839
M1: 841,M2: 844
M1: 846,M2: 850
M1: 852,M2: 856
M1: 857,M2: 862
M1: 863,M2: 867
M1: 869,M2: 873
M1: 874,M2: 879
M1: 880,M2: 884
M1: 885,M2: 890
M1: 891,M2: 895
M1: 896,M2: 901
M1: 902,M2: 906
M1: 907,M2: 912
M1: 913,M2: 917
M1: 919,M2: 922
M1: 924,M2: 928
M1: 930,M2: 933
M1: 935,M2: 939
M1: 941,M2: 944
M1: 947,M2: 950
M1: 952,M2: 956
M1: 957,M2: 961
M1: 963,M2: 967
M1: 969,M2: 972
M1: 974,M2: 978
M1: 980,M2: 984
M1: 986,M2: 990
M1: 991,M2: 995
M1: 997,M2: 1001
M1: 1002,M2: 1007
M1: 1008,M2: 1012
M1: 1014,M2: 1018
M1: 1019,M2: 1024
M1: 1025,M2: 1030
M1: 1031,M2: 1035
M1: 1036,M2: 1041
M1: 1041,M2: 1047
M1: 1047,M2: 1052
M1: 1053,M2: 1058
M1: 1058,M2: 1064
M1: 1064,M2: 1069
M1: 1070,M2: 1075
M1: 1075,M2: 1081
M1: 1081,M2: 1086
M1: 1086,M2: 1092
M1: 1092,M2: 1098
M1: 1097,M2: 1103
M1: 1103,M2: 1109
M1: 1109,M2: 1115
M1: 1114,M2: 1120
M1: 1120,M2: 1126
M1: 1125,M2: 1131
M1: 1131,M2: 1137
M1: 1136,M2: 1142
M1: 1142,M2: 1147
M1: 1147,M2: 1153
M1: 1153,M2: 1158
M1: 1159,M2: 1164
M1: 1164,M2: 1170
M1: 1170,M2: 1175
M1: 1175,M2: 1180
M1: 1181,M2: 1186
M1: 1187,M2: 1192
M1: 1192,M2: 1198
M1: 1198,M2: 1203
M1: 1203,M2: 1209
M1: 1209,M2: 1214
M1: 1215,M2: 1220
M1: 1220,M2: 1226
M1: 1226,M2: 1232
M1: 1232,M2: 1237
M1: 1237,M2: 1243
M1: 1243,M2: 1248
M1: 1248,M2: 1254
M1: 1254,M2: 1260
M1: 1259,M2: 1266
M1: 1265,M2: 1271
M1: 1271,M2: 1277
