Designator,Comment,Footprint,Center-X(mm),Center-Y(mm),Rotation,Layer
C10,CAP-0603-100nF,ECE-CAPC1608-0603SM,38.608,9.206,90,Top
C11,CAP-0603-100nF,ECE-CAPC1608-0603SM,40.64,23.876,180,Top
C12,CAP-0603-100nF,ECE-CAPC1608-0603SM,47.244,16.256,90,Top
C13,CAP-0603-1uF,ECE-CAPC1608-0603SM,40.64,25.4,180,Top
C14,CAP-0603-1uF,ECE-CAPC1608-0603SM,49.022,16.256,90,Top
C15,CAP-0603-1uF,ECE-CAPC1608-0603SM,50.8,16.256,270,Top
C4,CAP-6.3X5.4-22uF-35V,ECE-CAPAE6.3X5.4SM,65.532,52.324,270,Top
C5,CAP-0603-100nF,ECE-CAPC1608-0603SM,60.198,49.53,90,Top
C6,CAP-0603-100nF,ECE-CAPC1608-0603SM,34.606,21.59,0,Top
C7,CAP-0603-100nF,ECE-CAPC1608-0603SM,45.466,21.59,180,Top
C8,CAP-0603-100nF,ECE-CAPC1608-0603SM,45.466,11.176,90,Top
C9,CAP-0603-100nF,ECE-CAPC1608-0603SM,33.528,10.668,90,Top
D4,LED-0805-ORANGE,ECE-LED2012-0805SM,60.01,33.782,0,Top
D5,LED-0805-ORANGE,ECE-LED2012-0805SM,59.944,30.734,0,Top
D6,LED-0805-ORANGE,ECE-LED2012-0805SM,60.01,27.686,0,Top
D7,LED-0805-ORANGE,ECE-LED2012-0805SM,59.944,24.638,0,Top
D8,LED-0805-ORANGE,ECE-LED2012-0805SM,59.878,21.59,0,Top
D9,LED-0805-ORANGE,ECE-LED2012-0805SM,59.878,18.542,0,Top
R10,RES-1608-150R,ECE-RESC1608-0603SM,0,113.042,90,Top
R11,RES-1608-150R,ECE-RESC1608-0603SM,79.756,6.35,270,Top
R12,RES-1608-100K,ECE-RESC1608-0603SM,6.858,89.662,0,Top
R13,RES-1608-100K,ECE-RESC1608-0603SM,6.87,91.44,180,Top
R14,RES-1608-150R,ECE-RESC1608-0603SM,55.372,33.782,0,Top
R15,RES-1608-150R,ECE-RESC1608-0603SM,55.372,30.734,0,Top
R16,RES-1608-150R,ECE-RESC1608-0603SM,55.372,27.432,0,Top
R17,RES-1608-150R,ECE-RESC1608-0603SM,55.372,24.384,0,Top
R18,RES-1608-150R,ECE-RESC1608-0603SM,55.372,21.59,0,Top
R19,RES-1608-150R,ECE-RESC1608-0603SM,55.372,18.542,0,Top
R9,RES-1608-150R,ECE-RESC1608-0603SM,0,6.35,270,Top
S1,SW DIP-2,DIP-4,42.164,2.286,270,Top
S2,SW DIP-2,DIP-4,49.022,2.286,270,Top
SensorCircuit1_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,32.512,114.808,0,Top
SensorCircuit1_C2,CAP-0603-680nF,ECE-CAPC1608-0603SM,17.718,111.506,0,Top
SensorCircuit1_C3,CAP-0603-100nF,ECE-CAPC1608-0603SM,20.828,108.712,180,Top
SensorCircuit1_D1,TEMT6200,ECE-SENSOR-0805SM,34.174,118.618,180,Top
SensorCircuit1_D2,SOD123-4148,ECE-DIO-SOD123SM,25.654,107.442,180,Top
SensorCircuit1_R1,RES-1608-5K6,ECE-RESC1608-0603SM,32.512,111.76,0,Top
SensorCircuit1_R2,RES-1608-100K,ECE-RESC1608-0603SM,32.512,110.236,0,Top
SensorCircuit1_R3,RES-1608-47K,ECE-RESC1608-0603SM,17.78,117.602,180,Top
SensorCircuit1_R4,RES-1608-100K,ECE-RESC1608-0603SM,32.512,116.332,180,Top
SensorCircuit1_R5,RES-1608-100K,ECE-RESC1608-0603SM,17.768,113.03,0,Top
SensorCircuit1_R6,RES-1608-100K,ECE-RESC1608-0603SM,32.512,113.284,180,Top
SensorCircuit1_R7,RES-1608-100K,ECE-RESC1608-0603SM,17.768,114.554,0,Top
SensorCircuit1_R8,RES-1608-47K,ECE-RESC1608-0603SM,17.768,116.078,0,Top
SensorCircuit1_U1,S8-LT6221,ECE-SO8,24.844,112.5,180,Top
SensorCircuit2_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,54.864,114.808,0,Top
SensorCircuit2_C2,CAP-0603-680nF,ECE-CAPC1608-0603SM,40.07,111.506,0,Top
SensorCircuit2_C3,CAP-0603-100nF,ECE-CAPC1608-0603SM,43.18,108.712,180,Top
SensorCircuit2_D1,TEMT6200,ECE-SENSOR-0805SM,45.72,118.618,0,Top
SensorCircuit2_D2,SOD123-4148,ECE-DIO-SOD123SM,48.006,107.442,180,Top
SensorCircuit2_R1,RES-1608-5K6,ECE-RESC1608-0603SM,54.864,111.76,0,Top
SensorCircuit2_R2,RES-1608-100K,ECE-RESC1608-0603SM,54.864,110.236,0,Top
SensorCircuit2_R3,RES-1608-47K,ECE-RESC1608-0603SM,40.132,117.602,180,Top
SensorCircuit2_R4,RES-1608-100K,ECE-RESC1608-0603SM,54.864,116.332,180,Top
SensorCircuit2_R5,RES-1608-100K,ECE-RESC1608-0603SM,40.12,113.03,0,Top
SensorCircuit2_R6,RES-1608-100K,ECE-RESC1608-0603SM,54.864,113.284,180,Top
SensorCircuit2_R7,RES-1608-100K,ECE-RESC1608-0603SM,40.12,114.554,0,Top
SensorCircuit2_R8,RES-1608-47K,ECE-RESC1608-0603SM,40.12,116.078,0,Top
SensorCircuit2_U1,S8-LT6221,ECE-SO8,47.196,112.5,180,Top
SensorCircuit3_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,32.27,100.076,0,Top
SensorCircuit3_C2,CAP-0603-680nF,ECE-CAPC1608-0603SM,17.476,96.774,0,Top
SensorCircuit3_C3,CAP-0603-100nF,ECE-CAPC1608-0603SM,20.586,93.98,180,Top
SensorCircuit3_D1,TEMT6200,ECE-SENSOR-0805SM,27.444,103.632,0,Top
SensorCircuit3_D2,SOD123-4148,ECE-DIO-SOD123SM,25.412,92.71,180,Top
SensorCircuit3_R1,RES-1608-5K6,ECE-RESC1608-0603SM,32.27,97.028,0,Top
SensorCircuit3_R2,RES-1608-100K,ECE-RESC1608-0603SM,32.27,95.504,0,Top
SensorCircuit3_R3,RES-1608-47K,ECE-RESC1608-0603SM,17.538,102.87,180,Top
SensorCircuit3_R4,RES-1608-100K,ECE-RESC1608-0603SM,32.27,101.6,180,Top
SensorCircuit3_R5,RES-1608-100K,ECE-RESC1608-0603SM,17.526,98.298,0,Top
SensorCircuit3_R6,RES-1608-100K,ECE-RESC1608-0603SM,32.27,98.552,180,Top
SensorCircuit3_R7,RES-1608-100K,ECE-RESC1608-0603SM,17.526,99.822,0,Top
SensorCircuit3_R8,RES-1608-47K,ECE-RESC1608-0603SM,17.526,101.346,0,Top
SensorCircuit3_U1,S8-LT6221,ECE-SO8,24.602,97.768,180,Top
SensorCircuit4_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,57.15,100.076,0,Top
SensorCircuit4_C2,CAP-0603-680nF,ECE-CAPC1608-0603SM,42.356,96.774,0,Top
SensorCircuit4_C3,CAP-0603-100nF,ECE-CAPC1608-0603SM,45.466,93.98,180,Top
SensorCircuit4_D1,TEMT6200,ECE-SENSOR-0805SM,52.324,103.632,0,Top
SensorCircuit4_D2,SOD123-4148,ECE-DIO-SOD123SM,50.292,92.71,180,Top
SensorCircuit4_R1,RES-1608-5K6,ECE-RESC1608-0603SM,57.15,97.028,0,Top
SensorCircuit4_R2,RES-1608-100K,ECE-RESC1608-0603SM,57.15,95.504,0,Top
SensorCircuit4_R3,RES-1608-47K,ECE-RESC1608-0603SM,42.418,102.87,180,Top
SensorCircuit4_R4,RES-1608-100K,ECE-RESC1608-0603SM,57.15,101.6,180,Top
SensorCircuit4_R5,RES-1608-100K,ECE-RESC1608-0603SM,42.406,98.298,0,Top
SensorCircuit4_R6,RES-1608-100K,ECE-RESC1608-0603SM,57.15,98.552,180,Top
SensorCircuit4_R7,RES-1608-100K,ECE-RESC1608-0603SM,42.406,99.822,0,Top
SensorCircuit4_R8,RES-1608-47K,ECE-RESC1608-0603SM,42.406,101.346,0,Top
SensorCircuit4_U1,S8-LT6221,ECE-SO8,49.482,97.768,180,Top
SensorCircuit5_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,43.93,59.944,0,Top
SensorCircuit5_C2,CAP-0603-680nF,ECE-CAPC1608-0603SM,29.136,56.642,0,Top
SensorCircuit5_C3,CAP-0603-100nF,ECE-CAPC1608-0603SM,32.246,53.848,180,Top
SensorCircuit5_D1,TEMT6200,ECE-SENSOR-0805SM,39.104,63.5,0,Top
SensorCircuit5_D2,SOD123-4148,ECE-DIO-SOD123SM,37.072,52.578,180,Top
SensorCircuit5_R1,RES-1608-5K6,ECE-RESC1608-0603SM,43.93,56.896,0,Top
SensorCircuit5_R2,RES-1608-100K,ECE-RESC1608-0603SM,43.93,55.372,0,Top
SensorCircuit5_R3,RES-1608-47K,ECE-RESC1608-0603SM,29.198,62.738,180,Top
SensorCircuit5_R4,RES-1608-100K,ECE-RESC1608-0603SM,43.93,61.468,180,Top
SensorCircuit5_R5,RES-1608-100K,ECE-RESC1608-0603SM,29.186,58.166,0,Top
SensorCircuit5_R6,RES-1608-100K,ECE-RESC1608-0603SM,43.93,58.42,180,Top
SensorCircuit5_R7,RES-1608-100K,ECE-RESC1608-0603SM,29.186,59.69,0,Top
SensorCircuit5_R8,RES-1608-47K,ECE-RESC1608-0603SM,29.186,61.214,0,Top
SensorCircuit5_U1,S8-LT6221,ECE-SO8,36.262,57.636,180,Top
SensorCircuit6_C1,CAP-0603-15nF,ECE-CAPC1608-0603SM,43.88,79.248,0,Top
